	CTL_1	CTL_2	CTL_3	CTL_4	epm2a_1	epm2a_2	epm2a_3	epm2b_1	epm2b_2	epm2b_3	epm2b_4
ENSMUSG00000068966	223	232	215	195	190	225	215	169	225	237	214
ENSMUSG00000085742	1	1	1	2	2	1	3	0	0	0	0
ENSMUSG00000026788	468	428	417	424	437	463	480	342	407	439	427
ENSMUSG00000086939	10	2	7	8	3	6	2	13	11	11	7
ENSMUSG00000038765	21	19	17	18	11	14	17	6	17	10	9
ENSMUSG00000104403	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000052951	44	41	29	20	43	31	41	37	33	29	36
ENSMUSG00000081244	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085463	0	0	0	0	0	1	0	0	0	1	0
ENSMUSG00000038740	1427	1300	1266	1256	1435	1528	1495	1241	1345	1522	1462
ENSMUSG00000086484	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089596	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085987	3	2	0	2	1	6	3	4	2	2	4
ENSMUSG00000086904	10	5	2	2	2	5	5	6	8	5	5
ENSMUSG00000087461	21	23	26	14	17	15	19	13	21	25	18
ENSMUSG00000103413	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000038718	592	525	473	531	534	624	581	402	461	535	542
ENSMUSG00000084908	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038696	620	642	552	579	587	672	747	504	616	617	604
ENSMUSG00000083503	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083233	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081992	0	0	1	0	0	0	1	0	1	2	0
ENSMUSG00000087635	2	0	0	0	1	2	0	1	1	0	0
ENSMUSG00000026867	1549	1502	1358	1320	1412	1604	1596	1165	1362	1447	1396
ENSMUSG00000026864	4810	4186	3740	4079	6045	6911	7875	3227	4285	4531	4172
ENSMUSG00000070953	323	327	311	295	309	346	365	278	347	303	321
ENSMUSG00000035949	953	902	851	878	823	898	998	781	942	934	960
ENSMUSG00000081904	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107167	0	1	0	0	0	0	0	0	1	0	0
ENSMUSG00000026869	843	879	784	853	803	899	861	635	772	722	784
ENSMUSG00000026870	11	10	5	10	5	10	15	7	7	8	9
ENSMUSG00000026873	22	13	12	21	11	21	17	14	22	14	15
ENSMUSG00000086001	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088754	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026875	48	30	31	33	46	45	47	56	41	43	40
ENSMUSG00000083533	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000026874	9	9	13	6	4	15	10	7	5	10	10
ENSMUSG00000085599	0	0	0	1	0	1	1	0	0	0	2
ENSMUSG00000035875	10	15	8	3	3	6	6	10	4	2	6
ENSMUSG00000057110	360	299	292	296	275	330	337	236	286	320	275
ENSMUSG00000026878	3842	3958	3474	3503	3445	3805	3925	2842	3326	3469	3351
ENSMUSG00000084768	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000026879	926	834	820	827	891	1028	1179	1036	1123	1245	1182
ENSMUSG00000106961	10	7	8	9	14	9	11	7	9	6	8
ENSMUSG00000026880	222	240	211	215	210	235	248	227	245	251	255
ENSMUSG00000075391	0	0	1	0	1	2	1	2	0	0	2
ENSMUSG00000026882	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079421	0	0	0	0	0	1	1	0	0	2	0
ENSMUSG00000035778	90	93	73	66	99	165	198	143	152	170	198
ENSMUSG00000106856	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081841	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081421	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085668	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086555	51	45	44	43	26	43	44	47	43	44	47
ENSMUSG00000026883	1359	1481	1339	1272	1400	1500	1616	1232	1416	1480	1419
ENSMUSG00000026885	360	347	376	322	327	383	413	333	411	429	370
ENSMUSG00000107106	6	3	1	2	4	7	9	0	2	4	3
ENSMUSG00000086449	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106994	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026895	902	693	713	783	740	792	898	702	790	812	774
ENSMUSG00000026894	11	11	7	9	9	7	13	5	12	15	4
ENSMUSG00000107351	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026890	130	126	145	136	172	172	176	138	166	159	158
ENSMUSG00000098312	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026889	822	767	708	775	734	842	788	571	708	687	726
ENSMUSG00000026887	327	301	276	280	312	335	338	237	284	289	279
ENSMUSG00000081496	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085141	3	0	3	4	0	1	1	3	0	1	3
ENSMUSG00000087187	0	1	1	0	0	1	0	1	0	1	1
ENSMUSG00000047250	223	159	198	201	210	342	381	204	259	240	306
ENSMUSG00000106933	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083034	1	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000113163	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000082583	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080936	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068950	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083101	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094464	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094266	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075387	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111869	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110769	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080960	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096822	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059251	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094764	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111863	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082251	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049315	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111021	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083716	22	16	18	26	23	22	43	34	38	26	45
ENSMUSG00000075384	3	0	0	1	0	0	0	1	1	0	0
ENSMUSG00000084078	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050015	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000075383	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053146	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075382	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055088	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081591	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075380	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000070943	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055838	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075379	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081737	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081174	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083361	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083431	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075378	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075377	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068948	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078198	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059429	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083815	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068947	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049094	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064626	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049018	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009030	515	571	513	504	497	619	541	420	483	524	489
ENSMUSG00000075376	1388	1414	1280	1263	1216	1448	1219	962	1140	1094	1217
ENSMUSG00000077756	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066798	312	390	348	314	294	374	282	232	286	290	303
ENSMUSG00000050714	233	231	216	261	216	223	212	162	200	212	199
ENSMUSG00000035437	1688	1745	1646	1611	1470	1634	1583	1149	1460	1441	1430
ENSMUSG00000026915	3029	2796	2598	2565	2555	2877	2796	2082	2428	2638	2544
ENSMUSG00000107491	1	1	1	1	1	0	2	1	0	0	1
ENSMUSG00000053164	69	59	60	60	38	54	44	23	31	55	36
ENSMUSG00000108226	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083745	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092958	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000035403	86	82	78	52	67	79	91	76	87	74	86
ENSMUSG00000035392	758	737	645	631	710	752	746	627	660	746	693
ENSMUSG00000107586	3	3	0	1	0	1	1	0	1	0	1
ENSMUSG00000108155	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000107529	0	1	1	0	0	1	0	0	0	2	1
ENSMUSG00000105046	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000087294	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000247	355	342	324	301	368	375	463	394	407	481	401
ENSMUSG00000098383	2	1	1	3	3	3	3	2	1	3	3
ENSMUSG00000087539	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085950	2	5	4	5	3	2	3	2	5	6	3
ENSMUSG00000064468	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084124	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000107883	0	1	1	1	0	0	2	1	0	1	0
ENSMUSG00000026749	357	386	321	345	379	473	476	371	377	403	471
ENSMUSG00000108210	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107535	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026750	1654	1537	1536	1619	1543	1637	1794	1341	1666	1682	1676
ENSMUSG00000082931	0	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000095278	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083722	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087062	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026751	6	4	4	1	8	10	7	2	6	4	5
ENSMUSG00000087164	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063972	164	151	120	146	132	132	147	123	143	157	128
ENSMUSG00000108124	0	1	0	0	1	0	0	0	0	0	0
ENSMUSG00000082508	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085201	0	1	3	0	2	1	0	2	2	0	0
ENSMUSG00000065423	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107884	1	0	0	1	0	0	2	0	0	1	0
ENSMUSG00000065578	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000107468	0	1	2	1	2	3	0	1	4	0	1
ENSMUSG00000046618	68	85	84	69	60	82	78	64	68	76	90
ENSMUSG00000083776	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084184	0	0	1	0	1	0	0	0	0	0	1
ENSMUSG00000085755	1	3	0	1	0	0	0	0	1	2	0
ENSMUSG00000035295	27	8	16	13	7	15	15	9	7	9	11
ENSMUSG00000062997	559	522	443	522	496	519	661	529	706	650	671
ENSMUSG00000026755	1038	963	890	931	887	973	1147	803	939	960	1052
ENSMUSG00000026754	813	787	696	677	678	808	725	534	656	692	667
ENSMUSG00000065127	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035236	1499	1705	1554	1420	1410	1574	1261	1067	1295	1339	1197
ENSMUSG00000107833	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082315	0	0	1	2	0	1	1	0	1	1	0
ENSMUSG00000107955	1	0	1	4	0	0	1	1	2	0	1
ENSMUSG00000026753	1079	1141	1056	1013	976	1080	1087	842	1106	1083	1093
ENSMUSG00000083157	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000083686	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081144	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083401	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081839	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084285	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082015	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108203	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107699	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000083240	0	0	2	2	0	1	2	0	1	1	0
ENSMUSG00000084171	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083398	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081577	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088512	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082536	10	3	3	4	3	8	3	3	3	9	2
ENSMUSG00000049252	1325	1556	1306	1430	1252	1371	1186	858	1095	1222	1014
ENSMUSG00000098953	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000082930	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083260	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081999	0	0	0	1	0	0	1	0	1	0	2
ENSMUSG00000081085	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098660	0	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000105844	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077351	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080994	2	1	0	0	0	0	2	2	3	1	2
ENSMUSG00000026866	2	7	2	2	5	9	8	2	3	1	4
ENSMUSG00000049744	174	214	165	178	168	198	198	177	231	225	245
ENSMUSG00000085089	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000088124	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036890	560	551	505	506	490	515	518	465	517	557	523
ENSMUSG00000083849	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026872	2274	2402	2116	2072	2133	2395	2287	1683	2037	2139	2053
ENSMUSG00000092679	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000052248	37	41	26	21	32	36	41	35	43	46	46
ENSMUSG00000098566	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099117	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098367	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100135	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000098320	2	2	1	1	0	5	2	1	0	1	0
ENSMUSG00000081830	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085591	2	1	0	1	4	2	2	3	3	0	1
ENSMUSG00000083510	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086202	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086710	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086830	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083807	0	0	1	0	0	1	1	0	0	0	0
ENSMUSG00000088868	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082679	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086644	2	2	0	0	1	0	1	1	1	1	1
ENSMUSG00000089144	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092853	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000086353	6	4	2	1	2	0	2	1	3	2	3
ENSMUSG00000082278	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083966	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080499	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000083866	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082114	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000052155	837	906	781	730	730	806	795	623	776	847	753
ENSMUSG00000026761	1048	1094	891	962	902	1154	921	710	945	911	889
ENSMUSG00000036792	961	1026	877	854	921	948	1006	745	831	922	837
ENSMUSG00000080937	0	0	0	0	0	0	0	2	0	1	0
ENSMUSG00000081272	298	224	227	242	233	260	300	203	267	269	273
ENSMUSG00000084177	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077769	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069495	848	832	790	802	763	832	867	556	764	733	687
ENSMUSG00000026764	12417	12680	12075	11984	11226	11589	12599	9299	11582	11696	11017
ENSMUSG00000082879	0	1	1	0	0	0	0	0	0	1	0
ENSMUSG00000026765	203	185	198	185	151	167	208	149	190	162	191
ENSMUSG00000085357	0	1	0	3	0	0	1	1	1	1	1
ENSMUSG00000088825	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050447	357	454	387	411	390	377	385	301	388	411	382
ENSMUSG00000026766	507	473	471	448	447	495	582	404	516	506	507
ENSMUSG00000085862	11	8	7	9	9	5	7	4	8	10	5
ENSMUSG00000115545	3	3	5	4	4	3	4	2	1	4	5
ENSMUSG00000082483	0	1	1	0	2	0	0	0	0	0	0
ENSMUSG00000081457	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083449	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085429	1	2	2	1	0	1	1	0	0	0	0
ENSMUSG00000082846	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083270	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000017144	319	303	302	281	268	366	326	245	300	333	297
ENSMUSG00000100496	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081173	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086349	3	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000086523	0	0	1	1	0	1	0	0	0	0	0
ENSMUSG00000086007	1	0	0	0	0	0	0	0	2	1	0
ENSMUSG00000089614	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084334	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083472	0	0	0	0	1	0	1	1	0	0	0
ENSMUSG00000056115	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085014	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081484	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087701	0	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000036249	235	234	204	226	214	268	253	171	194	207	239
ENSMUSG00000080782	0	1	0	0	0	0	1	1	0	0	1
ENSMUSG00000026946	55	68	70	54	54	82	91	60	86	74	68
ENSMUSG00000053475	177	155	143	170	232	253	263	163	185	235	211
ENSMUSG00000036202	1064	1142	1026	1061	1034	1265	1174	785	984	981	984
ENSMUSG00000026950	175	142	123	129	143	214	179	135	131	128	161
ENSMUSG00000089609	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081158	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086447	0	1	2	2	0	1	0	3	1	0	0
ENSMUSG00000036093	1313	1497	1317	1204	1269	1453	1387	972	1312	1305	1272
ENSMUSG00000085315	24	21	14	13	15	19	19	13	16	10	20
ENSMUSG00000017412	4805	5432	4652	4896	4509	4825	4261	3288	4160	4071	4006
ENSMUSG00000082132	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025201	1	4	0	1	2	2	2	3	0	0	3
ENSMUSG00000055371	511	488	463	466	455	512	444	336	390	385	391
ENSMUSG00000085815	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000036053	892	864	779	762	900	1034	1022	730	838	865	907
ENSMUSG00000061136	952	1085	907	946	799	939	855	666	857	815	861
ENSMUSG00000026960	146	169	141	114	142	162	154	128	164	120	118
ENSMUSG00000088928	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082472	0	0	0	0	1	0	1	0	0	0	0
ENSMUSG00000080716	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083287	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000088628	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075334	553	509	465	495	448	447	522	499	523	564	553
ENSMUSG00000064596	1	0	0	0	0	0	0	0	2	1	0
ENSMUSG00000082096	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080742	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083684	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060988	795	931	796	856	725	789	757	582	726	756	743
ENSMUSG00000089272	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089352	0	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000082301	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000087040	63	74	62	67	63	59	57	36	65	63	83
ENSMUSG00000026824	1864	2061	1841	1802	1728	1918	1870	1474	1663	1800	1762
ENSMUSG00000082971	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082499	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082142	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098437	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082578	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000026826	718	767	684	686	660	683	709	668	640	691	733
ENSMUSG00000084938	4	8	2	3	6	5	6	5	11	2	4
ENSMUSG00000086396	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080812	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054181	11	7	8	8	4	8	6	8	5	7	8
ENSMUSG00000026827	1579	1733	1553	1524	1528	1703	1626	1282	1480	1607	1424
ENSMUSG00000084292	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084338	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081642	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084294	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087964	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110205	12	14	14	13	6	15	11	16	23	19	17
ENSMUSG00000026828	5	0	1	0	2	0	2	0	0	2	2
ENSMUSG00000026830	1885	1799	1553	1687	1986	2227	2328	1559	2088	1989	2058
ENSMUSG00000053472	0	0	0	0	0	0	1	0	0	2	0
ENSMUSG00000026832	8	9	9	5	7	10	26	9	19	16	14
ENSMUSG00000086862	0	1	0	2	2	0	1	2	4	5	3
ENSMUSG00000026834	499	509	394	450	424	464	357	306	385	369	348
ENSMUSG00000086995	5	7	2	3	3	6	3	2	4	9	6
ENSMUSG00000082408	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026836	392	366	343	304	405	442	451	326	363	406	422
ENSMUSG00000091922	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026839	359	368	350	361	320	359	365	298	358	395	340
ENSMUSG00000086129	17	6	14	12	8	12	11	7	17	12	9
ENSMUSG00000080985	0	1	0	0	1	0	1	0	0	0	0
ENSMUSG00000036641	197	233	231	206	201	219	183	156	195	204	188
ENSMUSG00000079353	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082800	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082989	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084250	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000026991	3949	3947	3389	3178	3748	4198	4495	3428	4058	4196	4017
ENSMUSG00000087455	0	1	1	0	1	1	2	0	0	2	0
ENSMUSG00000083276	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080982	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000026989	5	8	5	8	10	8	4	7	6	5	7
ENSMUSG00000081157	0	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000035168	728	752	651	661	716	777	786	658	698	760	722
ENSMUSG00000026988	179	181	134	147	138	178	173	131	128	158	156
ENSMUSG00000026987	834	799	732	678	648	852	757	572	697	653	662
ENSMUSG00000081236	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000085975	0	0	1	2	0	0	1	0	0	0	0
ENSMUSG00000087181	1	0	0	0	0	0	0	1	0	2	0
ENSMUSG00000086603	2	0	1	1	3	1	2	2	1	0	2
ENSMUSG00000082330	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000026977	1289	1365	1133	1060	1031	1209	1028	813	1025	1038	1098
ENSMUSG00000060703	195	178	219	188	201	222	238	140	202	218	208
ENSMUSG00000080198	0	0	1	0	0	0	2	0	1	0	1
ENSMUSG00000026980	20	34	17	16	20	24	29	28	36	30	30
ENSMUSG00000086196	2	1	1	0	1	1	0	1	2	0	2
ENSMUSG00000087283	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054580	10	11	7	3	11	8	6	3	11	9	15
ENSMUSG00000086578	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000084115	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083195	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000026971	1	8	3	3	2	2	0	1	1	1	3
ENSMUSG00000026970	455	444	396	392	392	445	379	316	344	359	421
ENSMUSG00000075325	1	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000083334	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083197	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077464	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088340	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064289	514	529	437	464	466	539	527	363	474	471	474
ENSMUSG00000081954	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000026914	1173	1066	997	976	1041	1108	1155	879	1068	1038	1019
ENSMUSG00000092660	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087794	2	2	3	1	2	0	3	1	2	0	2
ENSMUSG00000035033	743	694	707	613	622	684	721	632	665	670	637
ENSMUSG00000083018	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026904	4863	5103	4715	4904	4182	4792	4214	3194	4153	4298	4014
ENSMUSG00000035000	63	82	62	76	59	48	41	60	77	53	59
ENSMUSG00000087518	0	1	2	2	2	4	1	3	2	1	1
ENSMUSG00000087681	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087422	0	0	0	1	1	0	0	0	0	0	0
ENSMUSG00000000394	7	0	0	1	6	1	0	1	0	0	1
ENSMUSG00000000392	46	53	50	32	43	29	39	28	48	49	52
ENSMUSG00000026896	120	123	91	88	111	146	154	112	123	105	147
ENSMUSG00000026893	251	249	235	240	251	285	263	209	264	254	229
ENSMUSG00000081817	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059742	1404	1613	1418	1440	1473	1472	1357	1042	1473	1589	1285
ENSMUSG00000077546	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085029	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000118517	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065837	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075324	112	91	64	84	71	102	80	68	89	79	85
ENSMUSG00000087702	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082127	4	3	5	1	5	2	4	2	3	3	6
ENSMUSG00000081065	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084104	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026888	311	287	267	262	277	300	352	289	337	315	337
ENSMUSG00000034903	231	217	192	186	193	240	213	170	193	183	206
ENSMUSG00000086881	1	0	2	1	3	1	1	2	1	2	2
ENSMUSG00000083707	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080766	0	0	0	0	0	0	0	0	0	0	0
