	ctrl1_Chap	ctrl1_noChap	ctrl2_Chap	ctrl2_noChap	ctrl3_Chap	ctrl3_noChap	pat1_Chap	pat1_noChap	pat2_Chap	pat2_noChap	pat3_Chap	pat3_noChap
ENSG00000134313	1350	1421	1744	1432	1044	674	1897	1898	961	1136	1442	1619
ENSG00000143797	320	278	597	491	447	316	708	725	415	433	600	615
ENSG00000151693	653	550	962	650	976	593	516	417	882	571	783	521
ENSG00000119185	937	742	1170	737	962	712	849	646	977	770	1223	806
ENSG00000119203	345	319	429	252	341	211	385	309	320	305	511	406
ENSG00000134330	595	726	893	637	598	429	738	848	571	530	849	841
ENSG00000151694	658	961	855	791	372	299	894	1344	603	692	888	801
ENSG00000134308	3385	3121	3776	2498	2695	1809	2964	2619	2126	1931	2849	2314
ENSG00000115750	201	207	261	176	73	48	267	246	135	149	245	204
ENSG00000269973	48	54	56	37	8	10	66	60	27	38	61	67
ENSG00000134317	54	121	11	16	4	6	38	44	3	6	5	6
ENSG00000260077	38	35	72	54	21	10	57	55	81	70	80	66
ENSG00000172059	464	558	474	442	308	290	493	625	321	247	598	450
ENSG00000271787	35	95	69	27	16	39	31	67	37	28	109	41
ENSG00000205795	85	56	169	104	39	40	154	98	159	98	211	121
ENSG00000171848	623	291	430	136	112	47	495	108	418	46	460	37
ENSG00000115756	199	198	313	185	412	258	201	161	123	110	136	98
ENSG00000115758	1759	1352	1865	1049	1404	1047	1742	1397	1112	1160	2022	1668
ENSG00000115761	383	308	486	306	288	195	416	357	296	298	481	401
ENSG00000234818	72	44	69	61	44	17	70	60	62	49	71	71
ENSG00000143882	1374	1628	2131	1265	940	688	1631	1217	968	1091	1788	1200
ENSG00000143870	4261	3838	5052	3716	2883	1622	4960	3820	2859	3150	3853	3580
ENSG00000162976	240	231	406	278	227	136	303	278	238	274	411	386
ENSG00000134318	2143	1840	1835	1236	1306	805	1814	1609	1004	1111	1496	1561
ENSG00000169016	110	157	131	106	100	70	147	165	67	91	105	115
ENSG00000134324	311	307	356	269	210	121	466	384	283	352	411	589
ENSG00000071575	557	783	560	454	605	451	634	742	203	250	450	404
ENSG00000162981	83	67	34	48	3	2	2	3	1	0	0	0
ENSG00000151779	710	553	914	701	655	441	1031	871	760	717	972	890
ENSG00000079785	1479	1292	1880	1325	1183	693	1716	1493	1251	1221	1569	1393
ENSG00000163029	468	389	518	371	387	355	622	458	455	404	630	526
ENSG00000178295	91	76	123	67	79	52	234	113	90	55	160	115
ENSG00000170745	66	97	54	44	16	14	9	13	6	2	22	11
ENSG00000240857	91	87	122	107	128	80	124	100	134	142	163	140
ENSG00000143867	44	44	331	191	41	31	215	225	227	277	233	168
ENSG00000183891	36	38	45	15	47	29	55	48	20	23	47	55
ENSG00000118965	241	217	214	153	126	79	237	218	170	154	232	213
ENSG00000132031	25	23	43	43	26	14	16	8	28	29	34	36
ENSG00000068697	5167	5726	5721	4834	3766	2454	5501	5758	5030	5411	7562	6521
ENSG00000115884	497	280	446	239	56	24	170	73	134	70	195	116
ENSG00000055917	943	743	1120	868	920	566	1156	975	766	784	1061	1052
ENSG00000143878	1820	2115	1632	1581	2094	1694	1669	1646	1173	1257	1909	1208
ENSG00000118960	210	203	279	206	258	267	273	245	214	221	253	256
ENSG00000118961	151	142	216	173	91	85	200	187	124	115	211	168
ENSG00000119771	632	633	207	142	198	145	370	408	390	426	852	641
ENSG00000119778	76	81	111	64	94	59	111	111	63	73	89	106
ENSG00000173960	361	390	422	310	242	133	342	361	281	371	366	423
ENSG00000163026	33	14	22	15	22	22	32	12	34	31	50	53
ENSG00000115128	539	445	581	424	473	285	447	450	417	480	644	578
ENSG00000219626	93	70	173	95	94	53	105	124	69	75	84	116
ENSG00000115129	229	205	605	521	228	144	359	299	301	289	332	388
ENSG00000198399	454	473	394	281	328	259	412	444	211	180	259	251
ENSG00000084676	672	728	564	484	366	257	621	743	306	381	483	534
ENSG00000184924	154	121	176	105	93	78	139	105	107	125	207	140
ENSG00000138092	658	741	665	487	240	154	663	505	428	427	523	447
ENSG00000138031	1577	1839	1282	1126	378	232	1226	1128	794	939	902	969
ENSG00000271936	55	83	64	48	13	14	59	55	40	30	33	44
ENSG00000115137	83	86	80	62	32	37	94	111	40	56	74	62
ENSG00000119772	177	207	150	145	105	95	268	259	103	120	189	208
ENSG00000138101	74	75	48	29	32	20	55	43	32	28	47	62
ENSG00000143970	545	426	521	391	415	246	642	503	369	334	484	454
ENSG00000084731	340	325	305	260	396	256	276	310	191	165	205	218
ENSG00000084733	1324	1143	1941	1462	1202	751	1721	1407	1240	1260	1712	1780
ENSG00000157833	64	51	228	129	163	96	150	163	116	99	188	208
ENSG00000084754	1807	1521	2093	1529	1410	885	2024	1827	1776	1829	2156	1894
ENSG00000138029	1092	922	1423	946	879	662	1230	1174	1112	1184	1469	1405
ENSG00000138018	261	195	260	203	288	147	362	294	189	140	217	222
ENSG00000213699	475	417	544	433	334	250	481	482	455	591	546	702
ENSG00000115163	27	10	30	16	14	9	30	5	31	8	25	3
ENSG00000084764	172	166	246	168	174	102	188	205	220	215	266	231
ENSG00000119777	1108	1128	1695	1205	1243	714	1622	1333	1007	985	1506	1260
ENSG00000084693	330	557	918	306	387	535	367	380	373	366	956	450
ENSG00000272056	29	20	30	9	23	21	33	24	21	15	25	27
ENSG00000228474	941	689	1455	1121	1330	818	1036	933	1023	1129	1370	1212
ENSG00000138080	2606	2783	3110	2470	2734	1803	4355	3558	1101	1528	1980	1945
ENSG00000138030	6	9	14	8	18	24	9	6	10	12	47	29
ENSG00000138028	20	11	75	76	144	112	47	26	93	116	185	195
ENSG00000138073	281	242	477	383	514	372	329	301	342	372	508	610
ENSG00000138074	209	232	286	211	252	189	351	325	197	228	303	336
ENSG00000138085	704	651	1159	795	517	362	938	700	875	885	1154	1013
ENSG00000084774	621	508	678	526	617	390	1038	752	607	487	806	709
ENSG00000115204	500	465	605	433	422	322	676	592	550	577	728	821
ENSG00000115207	435	336	521	371	466	265	537	427	362	325	491	483
ENSG00000234945	86	97	118	62	102	68	126	102	78	63	96	91
ENSG00000234072	44	38	57	44	47	28	84	62	53	46	58	54
ENSG00000115211	303	279	444	297	294	188	429	393	253	296	408	375
ENSG00000115234	1277	1202	1772	1229	1180	765	1608	1325	1270	1235	1754	1530
ENSG00000163795	188	154	194	168	171	106	260	225	142	154	222	246
ENSG00000115241	862	829	962	696	768	543	938	823	758	590	1021	849
ENSG00000115216	1672	1625	1950	1487	1592	1070	1950	1894	1319	1358	1907	1864
ENSG00000157992	9	15	10	14	5	7	26	19	9	9	15	22
ENSG00000138002	318	336	335	249	206	160	468	388	279	304	381	351
ENSG00000115226	69	93	134	97	116	94	102	96	126	139	142	123
ENSG00000221843	9	11	31	13	21	5	15	18	22	23	27	23
ENSG00000243943	116	105	114	99	87	83	178	161	132	104	165	184
ENSG00000176714	7	12	8	10	8	3	12	9	33	13	28	24
ENSG00000198522	307	262	311	235	266	169	299	260	241	184	329	315
ENSG00000119760	471	509	686	526	446	314	674	646	395	446	698	703
ENSG00000163798	260	224	316	242	304	187	298	296	217	234	367	290
ENSG00000243147	226	197	297	191	198	201	212	172	213	216	154	103
ENSG00000171174	43	21	32	36	40	13	61	68	39	73	29	52
ENSG00000158019	312	269	335	250	294	186	307	317	281	330	504	510
ENSG00000075426	3077	3430	3179	3955	2936	2253	3974	6878	1692	2830	2273	3139
ENSG00000213639	1319	1186	1420	1018	1377	941	1169	1191	1000	1098	1482	1480
ENSG00000163806	24	29	31	19	10	30	18	25	21	28	42	29
ENSG00000171103	114	103	154	82	120	91	147	113	93	100	146	121
ENSG00000163811	747	723	836	620	561	406	832	892	491	508	785	642
ENSG00000115295	781	878	1173	981	641	517	701	760	651	737	1016	1064
ENSG00000119801	1602	1652	1969	1448	1213	854	1372	1518	987	1074	1464	1336
ENSG00000213626	1214	1130	1844	1001	1389	1063	513	613	157	190	279	387
ENSG00000172954	208	206	259	305	216	176	194	281	110	132	152	123
ENSG00000158089	56	70	1	8	11	8	66	34	10	9	5	0
ENSG00000013016	1530	1266	367	256	442	333	557	384	200	174	178	163
ENSG00000049319	20	17	1	0	0	0	3	5	2	3	0	0
ENSG00000162959	26	20	23	6	19	14	22	33	9	17	25	17
ENSG00000162961	192	163	246	146	207	126	182	134	189	198	305	216
ENSG00000021574	192	148	174	164	156	109	207	210	171	162	170	164
ENSG00000152683	359	328	396	365	305	190	470	424	289	316	420	420
ENSG00000119820	587	606	747	578	440	336	694	689	538	578	799	836
ENSG00000115760	1083	940	1121	839	827	474	1291	1184	587	703	901	979
ENSG00000018699	310	239	298	207	241	166	332	260	176	162	289	241
ENSG00000049323	3121	2678	3508	2420	4001	2423	11825	8582	1590	1450	1320	1180
ENSG00000152689	49	44	41	36	36	42	55	42	7	12	10	4
ENSG00000119812	508	433	821	628	729	400	797	656	502	461	705	509
ENSG00000150938	7088	6240	8829	5844	12747	9645	6165	5542	3790	3007	5899	4223
ENSG00000273090	368	275	345	286	627	380	320	272	173	110	173	230
ENSG00000171055	629	595	917	752	582	446	687	685	447	589	726	845
ENSG00000205221	174	233	357	219	56	42	63	67	55	55	46	44
ENSG00000115808	388	331	476	396	403	254	487	449	308	300	468	413
ENSG00000008869	259	311	362	288	284	174	427	456	223	238	368	312
ENSG00000152133	97	84	144	101	97	56	114	103	119	104	179	134
ENSG00000055332	818	607	817	678	618	372	868	880	505	566	690	696
ENSG00000224891	20	8	7	11	17	5	28	23	13	12	1	8
ENSG00000218739	404	420	603	400	362	269	473	403	389	418	569	465
ENSG00000115816	570	577	778	489	467	312	690	646	513	455	802	625
ENSG00000272054	99	87	120	68	73	45	116	84	89	78	115	113
ENSG00000003509	164	152	204	162	169	105	250	213	176	178	253	201
ENSG00000115825	956	847	1026	783	680	455	1198	976	586	509	690	586
ENSG00000115828	124	104	318	297	190	108	203	191	58	61	32	41
ENSG00000236213	319	225	535	288	397	225	451	366	157	138	220	234
ENSG00000163171	4513	3576	7761	4542	5050	3221	6382	5195	2199	2027	3295	3044
ENSG00000115841	126	164	129	108	84	73	150	127	75	77	93	94
ENSG00000138061	3886	5036	8322	4226	4701	2785	9837	6733	9784	5740	9191	3504
ENSG00000232973	216	214	338	230	279	131	561	351	393	271	334	157
ENSG00000119787	211	258	283	228	214	119	274	316	221	194	290	222
ENSG00000213553	145	101	159	133	125	65	145	170	136	113	123	166
ENSG00000143889	500	452	545	372	402	303	502	462	325	275	474	416
ENSG00000143891	127	90	122	65	45	27	85	61	100	110	154	135
ENSG00000115875	1038	1090	1070	825	762	490	1412	1167	640	604	1079	1050
ENSG00000152147	59	53	79	45	38	27	61	62	63	61	108	69
ENSG00000163214	252	213	316	208	192	121	375	296	212	188	303	272
ENSG00000188010	91	110	149	78	113	75	115	90	84	101	151	126
ENSG00000115904	882	987	870	771	623	395	828	1006	690	1504	933	1862
ENSG00000011566	610	558	569	428	280	220	420	533	357	301	498	459
ENSG00000231312	79	100	87	62	30	24	44	54	64	53	89	89
ENSG00000152154	13	20	15	11	5	5	11	11	29	22	15	10
ENSG00000138050	83	77	91	78	52	49	101	100	55	52	93	86
ENSG00000227028	117	131	56	57	185	165	28	28	14	15	28	34
ENSG00000183023	804	814	450	350	1315	951	224	232	93	120	146	231
ENSG00000234362	2	3	0	6	0	1	4	8	8	11	30	46
ENSG00000162878	55	104	120	156	41	33	241	397	276	373	847	1404
ENSG00000224875	31	6	9	24	20	8	33	22	20	10	8	28
ENSG00000143924	648	559	822	591	376	266	715	572	434	449	578	586
ENSG00000115944	894	806	1384	979	939	704	1064	951	900	965	1348	1258
ENSG00000057935	385	334	401	253	293	223	367	421	288	294	365	328
ENSG00000115970	365	365	484	330	366	267	532	468	253	270	433	402
ENSG00000152518	3684	3109	2243	1934	674	790	3274	3520	1578	1435	2282	1759
ENSG00000234936	25	21	10	17	17	7	32	13	10	18	14	17
ENSG00000152527	106	166	132	158	65	81	331	323	172	139	353	271
ENSG00000138036	153	112	192	129	129	100	211	202	181	195	255	189
ENSG00000138095	1259	1139	1369	972	896	730	1429	1128	1074	924	1261	1088
ENSG00000138032	371	335	528	323	365	227	430	423	349	345	489	410
ENSG00000138079	190	193	245	219	180	172	281	204	171	184	212	240
ENSG00000138078	695	613	944	787	765	567	971	873	679	692	872	860
ENSG00000143919	18	23	36	29	33	19	24	17	25	25	33	22
ENSG00000170577	156	210	51	72	105	83	12	13	24	15	17	13
ENSG00000068784	147	129	210	143	145	95	179	148	126	126	214	196
ENSG00000171132	260	249	331	238	126	87	396	405	224	193	236	199
ENSG00000116016	3944	4848	5531	5184	4145	4275	3039	5397	1855	2356	3640	4542
ENSG00000250565	41	41	66	28	46	23	61	40	69	84	84	84
ENSG00000119729	700	791	1259	827	1023	856	928	1004	610	668	950	849
ENSG00000151665	290	304	421	331	314	255	350	323	292	259	399	352
ENSG00000119878	182	162	230	179	162	99	214	173	157	176	230	231
ENSG00000171150	1806	1565	2026	1546	697	545	2344	1911	1512	2068	1941	2433
ENSG00000260977	22	21	27	25	2	0	58	46	32	39	26	49
ENSG00000239332	23	10	143	105	8	10	60	46	22	29	43	34
ENSG00000228925	154	129	191	131	80	53	150	160	127	134	181	188
ENSG00000180398	2347	2145	3570	2964	1337	968	2681	3015	2421	2426	3344	3502
ENSG00000068724	573	714	858	822	318	193	860	1012	674	857	1011	1305
ENSG00000143933	4827	3188	6281	4700	5525	3136	4805	4321	3801	3180	5312	4720
ENSG00000095002	272	152	248	177	154	93	330	205	265	196	365	226
ENSG00000116062	1222	1358	1386	990	767	613	1402	1502	925	854	1289	1063
ENSG00000138081	942	1136	1215	945	722	601	1197	1324	732	762	1096	912
ENSG00000170802	286	296	314	305	178	146	318	387	183	192	255	218
ENSG00000162869	197	235	248	174	222	148	233	231	154	164	282	237
ENSG00000243244	194	158	185	169	215	179	141	124	59	66	108	111
ENSG00000068912	876	772	1223	842	871	539	1062	934	815	756	1192	988
ENSG00000119737	12	22	33	24	12	7	41	49	12	9	16	19
ENSG00000068878	1013	1035	1345	986	902	497	1356	1538	612	538	784	680
ENSG00000170634	67	58	98	52	54	36	66	64	72	99	105	78
ENSG00000115306	3431	2882	6249	4222	4621	2699	7159	5278	6712	4937	8939	6075
ENSG00000238018	62	48	162	112	82	42	176	111	145	102	172	141
ENSG00000214595	13	6	17	34	6	1	37	87	16	12	23	15
ENSG00000115310	5449	5542	9265	6674	8656	6450	7212	6650	6662	6798	10225	8075
ENSG00000162994	53	51	40	37	25	25	57	37	34	37	41	38
ENSG00000143947	1376	1295	1666	1370	1445	839	1711	1541	1365	1401	1665	1686
ENSG00000085760	288	277	380	236	239	152	384	262	252	277	378	292
ENSG00000115355	788	688	723	507	895	563	941	627	442	365	562	417
ENSG00000240401	31	48	33	25	42	27	44	25	12	21	25	13
ENSG00000163001	328	266	428	269	319	200	340	309	357	336	484	441
ENSG00000138041	709	668	868	671	594	465	882	875	616	707	930	901
ENSG00000138035	343	249	373	221	214	154	368	241	304	307	477	410
ENSG00000115380	10338	12009	9384	8989	3948	5188	35890	43636	37226	47325	49980	57188
ENSG00000055813	2	0	60	71	3	2	13	11	13	10	21	21
ENSG00000028116	170	155	338	168	149	102	228	182	190	158	273	185
ENSG00000115392	107	108	207	107	77	66	164	138	144	114	214	132
ENSG00000119866	14	14	15	12	31	18	64	65	5	12	10	6
ENSG00000115421	88	71	121	54	78	36	146	93	135	124	157	164
ENSG00000162924	77	136	54	59	32	39	74	130	33	34	59	51
ENSG00000162927	40	27	60	38	37	31	68	47	61	54	66	72
ENSG00000162928	241	240	328	220	209	151	222	233	208	228	300	337
ENSG00000162929	90	67	164	99	72	59	179	107	112	77	127	114
ENSG00000212978	70	52	119	78	92	58	110	107	108	114	156	147
ENSG00000173209	739	1050	1292	861	776	685	1754	1563	913	920	1534	1329
ENSG00000115464	1825	1784	2209	1726	1746	1078	2278	2182	1253	1310	1732	1799
ENSG00000270820	130	111	155	93	105	87	169	137	115	98	153	160
ENSG00000082898	1607	1380	2164	1588	1572	1203	2609	2128	1687	1472	2375	1952
ENSG00000170264	52	28	35	32	21	11	49	34	25	32	46	27
ENSG00000115484	1549	1359	1850	1223	1170	888	1665	1320	1446	1276	1921	1498
ENSG00000236498	72	193	276	73	59	134	89	113	86	70	350	79
ENSG00000173163	191	162	252	154	182	129	179	137	170	151	208	175
ENSG00000170340	332	515	287	324	153	112	157	199	164	170	192	173
ENSG00000186889	48	46	53	48	23	25	56	47	50	52	43	40
ENSG00000115504	2578	2481	2937	2387	1260	773	3179	3495	1564	1520	1805	1488
ENSG00000226605	94	108	132	84	48	22	117	117	47	40	68	44
ENSG00000231609	259	253	371	252	111	88	403	428	186	192	236	185
ENSG00000143951	57	51	69	59	46	51	81	67	42	28	75	42
ENSG00000014641	963	697	1013	716	601	466	918	711	825	697	1088	862
ENSG00000169764	1706	1396	2380	1789	1417	1135	1999	1975	1203	1421	2209	2182
ENSG00000143952	339	330	349	275	258	136	393	386	196	194	291	321
ENSG00000197329	167	234	152	115	95	66	119	158	73	74	109	122
ENSG00000119862	68	75	32	21	98	76	51	54	37	45	76	72
ENSG00000119844	268	259	322	269	236	185	302	241	236	221	359	355
ENSG00000179833	801	925	1474	1371	899	683	1338	1748	953	1076	1086	1145
ENSG00000115902	556	570	969	881	2753	1915	842	898	799	664	1306	958
ENSG00000011523	346	324	407	249	156	173	316	330	246	207	392	331
ENSG00000138069	1974	2211	3068	2203	2042	1213	2122	2237	1794	2007	2937	2745
ENSG00000172974	15	23	32	12	22	18	12	22	9	16	23	13
ENSG00000138071	4403	3263	6131	4347	7721	4827	4917	3931	2735	2732	4582	3613
ENSG00000198369	651	654	1300	950	405	287	1096	1329	896	1076	1447	1256
ENSG00000143995	979	927	391	262	508	373	163	201	140	149	152	140
ENSG00000143971	221	151	208	152	223	128	188	155	184	168	196	191
ENSG00000197223	191	255	237	104	84	58	105	120	81	84	162	120
ENSG00000243667	35	24	32	33	36	24	50	29	54	40	56	61
ENSG00000273398	50	18	31	37	36	10	47	34	38	28	27	59
ENSG00000115946	216	247	314	229	175	133	241	226	195	214	276	278
ENSG00000221823	741	639	765	644	667	489	691	657	494	482	667	536
ENSG00000273275	246	234	242	202	218	159	217	218	135	170	225	193
ENSG00000119865	428	450	419	284	182	139	322	302	253	249	372	365
ENSG00000204923	8	7	21	11	2	7	23	11	19	15	23	28
ENSG00000169621	50	54	79	77	45	21	61	73	53	52	62	62
ENSG00000169604	5758	6805	5841	4304	1703	1480	3635	4413	2187	2271	3490	3746
ENSG00000198380	1448	1628	2264	1903	1517	779	1776	1979	1465	1596	2279	2193
ENSG00000169599	164	157	248	180	174	106	218	164	185	170	244	212
ENSG00000188971	532	500	759	593	605	391	693	649	337	398	563	543
ENSG00000115977	164	101	160	119	145	81	224	167	71	63	100	147
ENSG00000196975	1104	876	1120	817	710	481	975	710	890	827	1288	1256
ENSG00000087338	127	130	172	152	160	107	154	134	143	125	205	165
ENSG00000124380	174	198	332	200	221	161	219	228	213	208	328	265
ENSG00000059728	112	115	281	210	122	131	205	256	159	367	374	373
ENSG00000179818	1328	1023	1769	1449	1413	818	1615	1624	1463	1414	1782	1906
ENSG00000169564	2638	2264	3863	2758	2900	1816	3014	3139	2667	2705	3898	3558
ENSG00000115998	77	85	115	78	66	27	116	94	78	86	122	111
ENSG00000116001	568	463	467	359	390	277	835	589	436	459	504	637
ENSG00000116005	1940	2098	2285	1869	1101	730	2243	1964	1887	1795	1942	1682
ENSG00000143977	92	163	249	69	78	104	88	75	102	95	277	97
ENSG00000035141	250	228	329	217	207	159	406	296	236	231	395	293
ENSG00000233849	30	4	8	25	31	4	51	23	30	37	15	36
ENSG00000124357	437	430	852	587	535	372	757	623	513	533	901	634
ENSG00000124370	60	61	90	75	53	36	96	75	94	108	129	100
ENSG00000124383	328	420	523	373	354	179	426	509	328	352	569	496
ENSG00000075292	804	775	944	724	611	422	1244	1031	804	893	1205	1100
ENSG00000135636	3	2	37	29	276	159	17	13	10	5	12	16
ENSG00000003137	38	84	162	142	7	9	115	203	345	399	1218	1076
ENSG00000144036	455	343	466	336	427	239	479	400	345	338	516	475
ENSG00000116096	108	95	96	85	40	22	74	82	123	122	197	203
ENSG00000144040	125	119	117	133	39	40	170	187	86	103	135	147
ENSG00000135631	999	903	1334	1040	1361	823	1056	1093	676	616	1026	972
ENSG00000135632	281	226	346	250	174	112	375	369	312	270	401	335
ENSG00000135617	71	54	117	76	65	40	96	63	66	50	92	69
ENSG00000135624	1803	1604	2554	1510	1687	1348	1922	1685	1659	1491	2534	1891
ENSG00000163013	81	64	63	52	23	10	39	56	17	21	20	23
ENSG00000116127	241	239	248	201	204	112	341	318	150	157	214	227
ENSG00000144034	93	109	139	111	79	54	121	113	103	89	138	120
ENSG00000144048	319	261	326	250	244	121	299	262	251	261	347	313
ENSG00000124356	304	248	334	200	327	242	279	306	284	319	439	408
ENSG00000163017	644	430	37	20	2966	1664	47	37	4	5	1	0
ENSG00000114956	361	282	375	293	252	150	363	355	283	336	500	474
ENSG00000237883	72	46	74	55	57	32	74	67	42	69	86	92
ENSG00000187605	398	420	328	301	221	207	434	459	117	135	175	256
ENSG00000163170	68	56	133	60	74	52	100	67	85	73	127	69
ENSG00000225439	34	36	35	19	36	26	31	34	29	26	34	48
ENSG00000114978	1736	1498	1792	1481	1055	721	1928	1798	1145	1167	1694	1605
ENSG00000065911	2263	2130	3094	2404	2528	2180	2853	2541	2263	2212	3733	3195
ENSG00000264324	296	321	458	332	339	362	331	300	280	282	518	442
ENSG00000188687	82	110	133	82	115	87	115	116	107	101	181	135
ENSG00000204843	2102	1786	2558	1756	2168	1504	2269	1980	1721	1614	2634	2144
ENSG00000237737	55	4	6	59	32	1	63	49	23	33	10	38
ENSG00000159239	46	29	42	39	20	9	30	44	52	59	55	48
ENSG00000005448	173	130	260	173	240	158	217	167	151	140	193	191
ENSG00000114993	97	84	115	83	62	41	138	146	89	116	139	157
ENSG00000115274	114	140	174	94	101	84	186	214	147	186	255	168
ENSG00000239779	51	83	87	55	40	29	128	132	51	62	99	95
ENSG00000115275	473	591	651	599	587	359	892	999	523	566	739	701
ENSG00000135637	38	23	54	35	37	8	69	51	41	44	52	58
ENSG00000115282	192	177	276	196	237	165	347	257	251	239	344	313
ENSG00000179528	12	12	27	14	8	3	12	13	15	26	39	26
ENSG00000257702	25	16	38	43	16	17	35	52	91	79	103	102
ENSG00000115289	106	144	165	145	128	77	166	203	129	148	193	184
ENSG00000115307	659	812	1093	949	878	647	1107	988	797	748	1106	991
ENSG00000115317	371	408	432	450	395	287	486	452	427	432	525	543
ENSG00000115318	972	1258	1028	816	882	572	562	536	390	606	722	713
ENSG00000115325	200	242	370	304	388	265	272	288	257	240	357	357
ENSG00000135622	92	71	126	113	125	85	156	130	70	85	77	65
ENSG00000272711	5	9	23	8	4	8	27	13	19	19	26	21
ENSG00000159399	664	1130	1441	1299	1828	1268	931	1378	484	772	580	661
ENSG00000204792	18	21	56	31	13	13	2	0	9	19	15	21
ENSG00000115350	219	179	290	207	173	122	190	168	254	275	327	315
ENSG00000115363	280	180	331	188	245	125	300	206	306	245	353	239
ENSG00000115364	268	215	359	240	259	163	337	265	234	279	365	289
ENSG00000005436	201	160	205	150	141	74	226	165	126	132	224	179
ENSG00000270696	52	39	60	53	54	21	50	65	25	45	58	47
ENSG00000163541	429	392	505	362	382	265	532	374	392	385	589	545
ENSG00000186854	59	268	432	30	17	238	27	31	82	64	508	33
ENSG00000034510	9130	7001	12790	8405	12400	6624	9240	7655	10927	10999	13813	10986
ENSG00000176407	833	821	937	748	857	631	741	792	587	629	879	882
ENSG00000152284	167	190	295	167	230	204	398	391	368	326	649	501
ENSG00000152291	3649	3470	4227	3257	2626	1657	3978	3734	2745	2599	3464	3072
ENSG00000042445	428	455	615	481	362	214	318	285	389	408	583	503
ENSG00000115459	150	133	203	175	105	94	244	205	191	202	184	216
ENSG00000042493	410	273	597	323	277	190	734	465	517	392	478	291
ENSG00000168906	2103	3642	2173	1813	1127	1402	3214	3228	1407	1545	2005	2101
ENSG00000115486	684	1152	1252	937	550	507	1329	1213	565	694	975	835
ENSG00000168899	401	350	703	506	367	199	439	432	364	372	591	547
ENSG00000168894	319	285	666	466	437	249	420	373	354	380	518	495
ENSG00000168890	123	161	224	184	186	146	217	221	154	179	213	261
ENSG00000168883	509	440	550	461	390	290	540	515	443	415	567	499
ENSG00000168887	171	123	230	183	179	124	242	249	141	133	207	185
ENSG00000168874	343	566	268	602	14	44	242	1005	217	286	456	528
ENSG00000115525	116	116	284	193	202	127	270	253	529	361	701	470
ENSG00000068654	615	572	832	557	620	406	930	747	460	401	832	640
ENSG00000132300	465	457	528	328	356	283	623	411	395	409	563	574
ENSG00000132305	876	733	1037	779	797	539	1128	876	705	645	996	876
ENSG00000132313	208	174	256	192	189	154	215	172	188	147	243	200
ENSG00000115548	732	1018	1013	925	697	473	1174	1517	431	623	763	889
ENSG00000115561	925	728	1163	817	792	497	1065	855	790	741	1267	971
ENSG00000228363	261	179	196	331	255	115	383	383	242	239	238	355
ENSG00000239305	345	513	613	528	370	270	618	697	360	443	569	611
ENSG00000153561	281	381	389	415	232	196	422	505	277	409	519	532
ENSG00000231259	10	15	19	10	1	7	23	30	17	31	37	35
ENSG00000222041	365	219	361	399	553	187	311	386	285	307	250	326
ENSG00000234231	31	21	47	35	63	31	14	26	19	18	24	7
ENSG00000172086	365	417	421	429	253	228	370	425	366	441	675	635
ENSG00000144115	236	265	189	147	189	147	276	280	397	440	364	431
ENSG00000225420	49	65	41	52	28	6	48	71	49	60	45	64
ENSG00000172071	228	331	253	202	142	68	292	294	171	199	254	268
ENSG00000153574	100	117	131	93	104	54	179	185	132	147	165	149
ENSG00000143429	108	130	75	49	18	14	83	65	181	138	195	115
ENSG00000144029	325	320	407	308	303	212	382	318	270	291	409	397
ENSG00000144026	80	65	92	50	76	60	185	134	64	68	106	89
ENSG00000163067	26	8	27	18	16	8	32	23	30	30	52	48
ENSG00000115041	108	82	96	62	34	27	87	92	57	60	49	28
ENSG00000115042	73	94	109	54	67	95	82	85	49	75	147	67
ENSG00000272913	22	20	47	30	17	10	21	45	29	61	56	57
ENSG00000229689	20	14	39	22	17	16	31	24	37	29	42	25
ENSG00000232931	26	28	37	25	21	24	119	92	21	32	27	45
ENSG00000174501	26	24	38	28	24	25	87	59	18	17	23	19
ENSG00000231584	17	19	24	12	20	17	35	39	35	32	39	23
ENSG00000186281	14	14	36	27	33	25	18	11	53	34	48	24
ENSG00000158050	188	152	51	43	128	83	142	125	248	307	685	396
ENSG00000084090	1043	896	1094	886	831	517	940	958	648	653	869	782
ENSG00000204685	44	35	67	58	41	30	72	56	31	39	71	58
ENSG00000135956	1054	1011	1363	1026	1036	681	948	1021	778	786	1114	1123
ENSG00000144021	453	512	870	560	413	296	712	693	512	516	851	726
ENSG00000144028	2488	2152	2659	1814	1855	1187	3097	2727	1598	1576	2301	2094
ENSG00000121152	91	34	89	23	35	25	103	18	58	6	61	8
ENSG00000196843	425	547	351	233	452	322	260	307	93	110	141	178
ENSG00000114982	473	408	573	389	371	279	636	574	429	481	847	922
ENSG00000114988	232	225	205	215	123	74	277	186	181	173	238	254
ENSG00000158158	132	119	133	99	109	57	149	153	106	124	205	199
ENSG00000168763	112	172	200	139	101	102	221	174	143	130	217	193
ENSG00000163126	22	29	50	34	17	19	38	42	29	22	57	37
ENSG00000213337	28	28	38	32	36	17	38	31	36	35	45	47
ENSG00000168758	494	569	443	349	237	166	585	712	280	382	462	514
ENSG00000144199	30	10	19	10	19	14	38	33	8	8	12	14
ENSG00000135976	26	25	45	37	21	19	96	76	18	17	31	39
ENSG00000230606	16	19	13	15	10	3	57	49	13	11	21	27
